ID;City;Country;Members;Label;Lat;Lng
1;Turin;Italy;14;Turin (14);45,07049;7,68682
2;Siena;Italy;2;Siena (2);43,31822;11,33064
3;Pisa;Italy;1;Pisa (1);43,70853;10,4036
4;Florence;Italy;1;Florence (1);43,77925;11,24626
5;Barcelona;Spain;1;Barcelona (1);41,38879;2,15899
6;Amsterdam;Netherlands;1;Amsterdam (1);52,37403;4,88969
7;Vienna;Austria;1;Vienna (1);48,20849;16,37208
8;Bruxelles;Belgium;1;Bruxelles (1);50,85045;4,34878
9;Montreal;Canada;1;Montreal (1);45,50884;-73,5878
10;Lausanne;Switzerland;1;Lausanne (1);46,516;6,63282
