"","school","tot","min","dis","stw","distance","weights","subclass"
"6","RYE MIDDLE SCHOOL",754,0.17,0,0,0.152901452084906,1,"17"
"15","PAUL J GELINAS JUNIOR HIGH SCHOOL",976,0.12,0.03,0,0.186553697572017,1,"16"
"17","ALBERT G PRODELL MIDDLE SCHOOL",622,0.1,0.04,0,0.118706325401035,1,"14"
"26","PIERSON MIDDLE/HIGH SCHOOL",530,0.19,0.06,0,0.0878363116393159,1,"8"
"29","MANHASSET MIDDLE SCHOOL",587,0.23,0.06,0,0.0905543590547424,1,"10"
"34","ACCOMPSETT MIDDLE SCHOOL",756,0.09,0.07,0,0.125590337566264,1,"3"
"42","FELIX FESTA CHARACTER MIDDLE SCHOOL",721,0.3,0.08,0,0.0917124296056071,1,"6"
"44","CLARENCE MIDDLE SCHOOL",1201,0.08,0.08,0,0.208367039729245,1,"1"
"51","TRANSIT MIDDLE SCHOOL",1012,0.23,0.09,0,0.13752958003344,1,"13"
"65","CANDLEWOOD MIDDLE SCHOOL",1036,0.34,0.1,0,0.121110195769344,1,"5"
"90","SHAKER JUNIOR HIGH SCHOOL",861,0.25,0.14,0,0.0901115127135673,1,"15"
"92","CORNWALL MIDDLE SCHOOL",1062,0.29,0.14,0,0.111893277941089,1,"4"
"95","ICHABOD CRANE MIDDLE SCHOOL",443,0.1,0.15,0,0.0584876113982118,1,"20"
"98","LAGRANGE MIDDLE SCHOOL",813,0.16,0.15,0,0.0895628206448996,1,"12"
"108","EAST ISLIP MIDDLE SCHOOL",1035,0.16,0.16,0,0.11441852320604,1,"7"
"120","HOLLAND JUNIOR/SENIOR HIGH SCHOOL",461,0.02,0.18,0,0.0575189278061636,1,"18"
"124","GEORGE FISCHER MIDDLE SCHOOL",1372,0.23,0.18,0,0.14928637132393,1,"11"
"134","SPRY MIDDLE SCHOOL",1028,0.15,0.19,0,0.101094979297657,1,"2"
"183","CHURCHVILLE-CHILI MIDDLE SCHOOL",1287,0.17,0.27,0,0.0986694610266841,1,"9"
"207","HOMER JUNIOR HIGH SCHOOL",338,0.03,0.3,0,0.0279548098449032,1,"24"
"279","RICHARD T STANK MIDDLE SCHOOL",400,0.06,0.39,0,0.0194850884100456,1,"25"
"284","ATHENA MIDDLE SCHOOL",843,0.28,0.4,0,0.026728344115711,1,"22"
"287","JASPER-TROUPSBURG JUNIOR-SENIOR HIGH SCHOOL",277,0.01,0.4,0,0.016598989875642,1,"23"
"299","CENTRAL SQUARE MIDDLE SCHOOL",1025,0.04,0.41,0,0.0435880588953891,1,"19"
"330","FIELDSTONE MIDDLE SCHOOL",1326,0.63,0.45,0,0.0276654939587925,1,"21"
"560","GARDEN CITY MIDDLE SCHOOL-STW",969,0.08,0.01,1,0.207480190820968,1,"1"
"561","JERICHO MIDDLE SCHOOL-STW",719,0.44,0.02,1,0.101177032001525,1,"2"
"562","BARKER ROAD MIDDLE SCHOOL-STW",744,0.22,0.03,1,0.126977316441018,1,"3"
"563","CALKINS ROAD MIDDLE SCHOOL-STW",695,0.2,0.05,1,0.112240159384562,1,"4"
"564","NORTH SALEM MIDDLE SCHOOL/HIGH SCHOOL-STW",693,0.12,0.05,1,0.121984426275183,1,"5"
"565","PLEASANTVILLE MIDDLE SCHOOL-STW",576,0.16,0.07,1,0.0924038353249407,1,"6"
"566","SAYVILLE MIDDLE SCHOOL-STW",760,0.07,0.1,1,0.113923099181507,1,"7"
"567","HONEOYE FALLS-LIMA MIDDLE SCHOOL-STW",579,0.06,0.11,1,0.0873368839883173,1,"8"
"568","VICTOR JUNIOR HIGH SCHOOL-STW",689,0.08,0.11,1,0.0986285961856994,1,"9"
"569","TWELVE CORNERS MIDDLE SCHOOL-STW",810,0.26,0.12,1,0.0907957732428073,1,"10"
"570","FARNSWORTH MIDDLE SCHOOL-STW",1156,0.17,0.13,1,0.14886147162584,1,"11"
"571","JOHANNA PERRIN MIDDLE SCHOOL-STW",709,0.12,0.13,1,0.088974295628171,1,"12"
"572","BAY TRAIL MIDDLE SCHOOL-STW",1101,0.15,0.14,1,0.136417790134992,1,"13"
"573","CARRIE PALMER WEBER MIDDLE SCHOOL-STW",1165,0.3,0.15,1,0.121066061038589,1,"14"
"574","MARTHA BROWN MIDDLE SCHOOL-STW",816,0.12,0.16,1,0.0900505601384621,1,"15"
"575","VAN WYCK JUNIOR HIGH SCHOOL-STW",1497,0.19,0.17,1,0.187738932757772,1,"16"
"576","LAKELAND-COPPER BEECH MIDDLE SCHOOL-STW",1415,0.26,0.18,1,0.152548034880845,1,"17"
"577","MERTON WILLIAMS MIDDLE SCHOOL-STW",669,0.08,0.23,1,0.0570778789226175,1,"18"
"578","ISLIP MIDDLE SCHOOL-STW",700,0.31,0.24,1,0.0436783963745982,1,"19"
"579","OLIVER W WINCH MIDDLE SCHOOL-STW",750,0.04,0.26,1,0.0584035263282412,1,"20"
"580","A A KINGSTON MIDDLE SCHOOL-STW",359,0.06,0.3,1,0.0277865177955592,1,"21"
"581","MORAVIA JUNIOR-SENIOR HIGH SCHOOL-STW",505,0.03,0.36,1,0.026855776782607,1,"22"
"582","GLENS FALLS MIDDLE SCHOOL-STW",606,0.13,0.47,1,0.0165867647742408,1,"23"
"583","LONGWOOD JUNIOR HIGH SCHOOL-STW",1369,0.48,0.5,1,0.0279196541054712,1,"24"
"584","PIONEER MIDDLE SCHOOL-STW",765,0.03,0.51,1,0.0194580086588814,1,"25"
